PERMANENT_NAME,DISPLAY_NAME,MAIN_PIC_ID,CITY,STATE,COUNTRY_CODE,MEMBER_SINCE,PERSONAL_URL,OCCUPATION,LOAN_BECAUSE,OTHER_INFO,LOAN_PURCHASE_NUM,INVITED_BY,NUM_INVITED
kendall5136,Kendall,,,,,1587167381,,,,,1,,0
jeanne4359,Jeanne,,,,,1587138013,,,,,1,,0
emily86657633,Emily,,,,,1587135445,,,,,1,,0
leigh2511,Leigh,,,,,1587138614,,,,,1,,0
mlynn2977,MLynn,,,,,1587167344,,,,,5,,0
benjamin5496,Benjamin,,,,,1587139080,,,,,1,,0
leslie8884,leslie,,,,,1587135191,,,,,1,,0
simon6137,Simon,,,,,1587185186,,,,,1,,0
tobias4961,Tobias,,,,,1587102726,,,,,1,,0
ahmad6626,Ahmad,,,,,1587105134,,,,,1,,0
hilary1971,Hilary,,,,,1587175807,,,,,1,,0
marlow4562,Marlow,,,,,1587139848,,,,,1,BeChido,0
neo4286,Neo,,,,,1587138065,,,,,1,,0
nora3784,nora,,,,,1587136815,,,,,1,,0
crystal5270,crystal,,,,,1587136080,,,,,1,,0
katherine53503356,Katherine,,,,,1587178757,,,,,1,,0
giselle2523,Giselle,,,,,1587139026,,,,,1,,0
kristin66691965,Kristin,,,,,1587137949,,,,,1,,0
sheri7646,Sheri,,,,,1587134901,,,,,1,,0
karen17367818,Karen,,,,,1587135569,,,,,3,,0
simon2105,simon,,,,,1587135921,,,,,1,,0
tayma2731,Tayma,,,,,1587138808,,,,,1,,0
niko2902,Niko,,,,,1587299199,,,,,21,,0
austin83665870,Austin,,,,,1587243081,,,,,1,,0
sam8801,Sam,,,,,1587296223,,,,,1,,0
sonya6183,sonya,,,,,1587135731,,,,,1,,0
fahtehaw3716,FAHTEHAW,,,,,1587131841,,,,,1,,0
annette7678,Annette,,,,,1587136054,,,,,1,,0
andrea3330,Andrea,3493903,,,,1587296567,,,,,1,,0
ghadir2990,ghadir,,,,,1587298778,,,,,1,,0
laila4628,Laila,,,,,1587263034,,,,,3,,0
stefan90,Stefan,3493904,,,DE,1587298466,,,,,2,,0
mark71835777,Mark,,,,,1587297428,,,,,1,,0
sindhi4592,Sindhi,,,,,1587135068,,,,,1,,0
jonathan56931036,Jonathan,,,,,1587217663,,,,,1,,0
small4123,Small,,,,,1587287919,,,,,1,,0
samantha1505,Samantha,,,,,1587317259,,,,,1,,0
martha4480,Martha,,,,,1587316688,,,,,2,,0
william8619,William,,,,,1587298703,,,,,1,,0
thomas19517427,Thomas,,,,,1587138346,,,,,1,,0
josh2006,josh,,,,,1587226223,,,,,1,,0
lilly9301,Lilly,,,,,1587217677,,,,,2,,0
jay7593,Jay voigt,3493760,denver,CO,US,1587268507,,Healthcare,"Its the right thing to do, social justice, gratitude, GOD wants me to, puts my problems in perspective and its fun.",,4,,0
pureexcellent9677,Pureexcellent,,,,,1587373569,,,,,1,,0
jeff4573,Jeff,,,,,1587399170,,,,,2,,0
anthony81052257,Anthony,,,,,1587495980,,,,,1,,0
james59483881,james,,,,,1587493738,,,,,1,,0
simon38941426,Simon,,,,,1587556874,,,,,1,,0
michele7430,Michele,,,,,1587572653,,,,,1,Sally,0
tina8386,Tina,,,,,1587399509,,,,,1,,0
paul55693460,Paul,,,,,1587506036,,,,,1,,0
jannita5371,Jannita,,,,,1587520945,,,,,4,,0
cindy51848594,Cindy,,,,,1587461139,,,,,2,,0
panyia1367,PaNyia,,,,,1587495834,,,,,1,,0
annette6545,Annette,,,,,1587557062,,,,,1,,0
lindsey9645,Lindsey,,,,,1587422519,,,,,1,,0
meg7257,Meg,,,,,1587494541,,,,,1,,0
kerkko5840,Kerkko,,,,,1587552572,,,,,3,,0
dione1349,Dione,,,,,1587643148,,,,,1,Allegra,0
cheryl6060,cheryl,,,,,1587435969,,,,,1,,0
prashanth3786,Prashanth,,,,,1587556371,,,,,2,,0
russell1162,Russell,,,,,1587652213,,,,,1,,0
robert44919446,Robert,,,,,1587352564,,,,,1,,0
christina88636296,Christina,,,,,1587352492,,,,,2,,0
lonny4863,Lonny,,,,,1587494330,,,,,1,,0
lori8649,Lori,,,,,1587512827,,,,,1,,0
connie8842,connie,,,,,1587572784,,,,,1,,0
ronald3084,Ronald,,,,,1587264495,,,,,1,,0
elisabeth6360,Elisabeth,,,,,1587495648,,,,,1,,0
josh5505,josh,,,,,1587505933,,,,,2,,0
sam4988,Sam,,,,,1587343967,,,,,1,,0
portiay,Portia,3493733,,,CA,1587265264,www.portiayip.com,,"I believe we’re all capable of doing better and making meaningful, lasting changes.",Writer / Artist / Coach / Entrepreneur,1,,0
leyla2034,Leyla,,,,,1587603191,,,,,1,,0
katrina4426,Katrina,,,,,1587652872,,,,,2,Christa,0
mercy4079,Mercy,,,,,1587783630,,,,,1,,0
ashley94505099,Ashley,,,,,1588087071,,,,,1,,0
krystin4083,Krystin,,,,,1588107621,,,,,1,,0
ed9481,Ed,3519156,,,,1588106519,,,,,1,,0
sandra3774,Sandra,,,,,1588206513,,,,,1,,0
peter78056707,Peter,,,,,1588208221,,,,,1,,0
lindsey9169,Lindsey,,,,,1588224172,,,,,1,Alan,0
daniel90709260,Daniel,,,,,1588421672,,,,,1,,0
mireia8061,Mireia,,,,,1588829391,,,,,1,,0
kristy7717,Kristy,,,,,1588878075,,,,,1,,0
pamela69757882,Pamela,,,,,1588863338,,,,,1,,0
ritwick4417,Ritwick,,,,,1588894691,,,,,2,,0
christopher70273707,Christopher,,,,,1588895229,,,,,1,,0
amy69105454,amy,,,,,1587773137,,,,,1,,0
jessica74286780,Jessica,,,,,1587778104,,,,,1,,0
darlene1011,Darlene,,,,,1588105792,,,,,1,,0
nancybeth8844,Nancy Beth,,,,,1588121766,,,,,1,,0
beth22908540,Beth,,,,,1588182221,,,,,1,,0
rose9065,Rose,,,,,1588206826,,,,,1,,0
claudia7378,Claudia,,,,,1588224189,,,,,1,,0
samantha8324,Samantha,,,,,1588482472,,,,,1,,1
debra5335,debra,,,,,1588801743,,,,,1,,0
izael3458,Izael,,,,,1588829532,,,,,1,,0
gerson6924,Gerson,,,,,1588864489,,,,,1,,0
leroybilly9203,Leroy Billy,,,,,1588883127,,,,,1,,0
maryjo6904,mary jo,,,,,1588894588,,,,,1,,0
rita9542,Rita Sampaio,3565856,,,,1588894891,,,,,2,,0
matt53975006,Matt,,,,,1587388290,,,,,1,,0
evan3611,Evan,,,,,1587730990,,,,,1,,0
daiquan6450,Dai'Quan,,,,,1587772941,,,,,1,,0
layne3934,Layne,,,,,1587781435,,,,,1,,0
tyler5687,Tyler,,,,,1588012145,,,,,1,,0
